translation_x	translation_y	translation_z	rotMatrix_11	rotMatrix_21	rotMatrix_31	rotMatrix_12	rotMatrix_22	rotMatrix_32	rotMatrix_13	rotMatrix_23	rotMatrix_33
78.3809991351	-82.9404447988	630.5750025907	0.7766965694	0.1828636216	0.6027479079	0.1434129358	0.8804567523	-0.4519167614	-0.613332608	0.4374436436	0.6576228294
77.3374209146	-82.8902543276	629.8738798872	0.7847771533	0.1782561014	0.5935906513	0.1411957814	0.8811409012	-0.4512809464	-0.6034805926	0.4379672863	0.6663302661
76.6435092279	-83.1234431352	629.536610054	0.7931506026	0.1722989507	0.5841425104	0.1413252775	0.8808946243	-0.4517207419	-0.592398991	0.4408373981	0.6743317399
75.2701674484	-83.289706346	628.7484955568	0.8036495819	0.1681994785	0.5708355891	0.1374588111	0.8808194364	-0.4530584682	-0.5790072616	0.4425674334	0.6847494876
73.8795067097	-83.6404319737	628.2202770296	0.8136844307	0.1637137425	0.5577747763	0.1349780069	0.880087135	-0.4552223148	-0.5654165292	0.4456954985	0.6940152628
72.3479454977	-83.7567095178	627.4885367613	0.8248843654	0.1543454245	0.5438200595	0.1349019189	0.880464560	-0.4545144875	-0.5489665069	0.4482849936	0.7054597798
71.0084001072	-83.5970321429	626.7391508047	0.8363434162	0.1460185685	0.5284038727	0.1332336049	0.8808355964	-0.454288055	-0.5317714484	0.4503413008	0.7172266228
69.6791075196	-84.3070502371	626.2902846215	0.8459906074	0.1361227139	0.5155279708	0.1361329217	0.879677159	-0.4556707161	-0.5155252998	0.4556739894	0.7256677260
67.2205831393	-84.2870156016	625.4926946624	0.8586551862	0.1264062497	0.4967187199	0.1341739525	0.8798826121	-0.455854906	-0.4946770527	0.4580698014	0.7385551358
65.5115689305	-84.7011379462	624.9955255884	0.8687756563	0.1144466597	0.4817998946	0.1369167395	0.8794884511	-0.4558002908	-0.4759022692	0.4619545067	0.7484085238
63.9892463587	-84.9433450827	624.4448707815	0.8791637717	0.1034277619	0.4651610027	0.1380533371	0.8790146722	-0.4563710724	-0.4560847907	0.4654416784	0.7585193685
62.181404394	-85.5682122968	623.7726045608	0.890228524	0.0922551223	0.4460758286	0.1385718507	0.8780157861	-0.4581334552	-0.4339267939	0.4696564313	0.7688508578
60.2701639112	-85.378067844	623.20376114	0.9009805572	0.0813755040	0.4261596791	0.1370833591	0.8785392307	-0.4575772814	-0.4116335774	0.4706876625	0.7803915336
57.9233650782	-85.3060702054	622.5891354956	0.9124392067	0.0702472036	0.4031326275	0.1345185219	0.8789137136	-0.4576189827	-0.3864652218	0.4717794864	0.7925055120
55.8631533389	-85.7980839844	621.8609543886	0.9228530799	0.0581397912	0.3807442129	0.1345480897	0.8775982869	-0.4601286103	-0.3608922672	0.4758585922	0.8020719105
53.3531613252	-85.8908910642	621.2518103989	0.932946474	0.0484243912	0.3567455813	0.1311878484	0.8770560512	-0.4621283014	-0.3352641659	0.4779411239	0.8118937745
50.9742062799	-86.0336224746	620.6451040306	0.942169157	0.0358719499	0.3332176627	0.1303729679	0.8767132731	-0.4630086047	-0.308745385	0.479674190	0.8213356695
48.9396191175	-86.3065244722	620.1759518452	0.9502218988	0.0246017433	0.310597179	0.1290865689	0.8762082017	-0.4643228481	-0.2835709418	0.4813040632	0.8294163596
46.7196622712	-86.6157540902	619.8081560648	0.9575917006	0.0150255012	0.2877384214	0.1266896524	0.8749679243	-0.4673124645	-0.2587834987	0.4839477577	0.8359585087
44.4465263632	-86.7169004641	619.4154622454	0.9642371112	0.00609341420	0.2649724492	0.123659658	0.8739103314	-0.470094693	-0.2344266372	0.4860492333	0.8419032590
42.5720752234	-86.8164724075	619.2660255213	0.9693885964	-0.00138612950	0.2455276495	0.1211349949	0.8725121969	-0.4733379471	-0.2135697665	0.4885902458	0.8459713104
40.8358929657	-87.5109823597	619.1368467154	0.9739471306	-0.00862681030	0.2266142362	0.1191424158	0.8697231846	-0.4789433921	-0.1929599079	0.4934645672	0.8480923023
39.1301538433	-86.7061447776	618.9775279702	0.9783416405	-0.01327483	0.2065765721	0.1129327303	0.8705742281	-0.4789017329	-0.1734829086	0.491858268	0.8532183068
37.4728292514	-87.114197169	618.9962421049	0.9814029933	-0.0187284330	0.1910515344	0.1106315776	0.8685155223	-0.4831580582	-0.1568824488	0.4953082045	0.8544358988
36.0487607841	-87.1949435589	618.7859489456	0.9842627763	-0.0227897427	0.1752207043	0.1064545139	0.8679560304	-0.4850973319	-0.141028606	0.4961173663	0.8567226102
35.0033007416	-87.4102052576	618.7463795566	0.986441254	-0.0262068810	0.1619988035	0.1028089481	0.868122631	-0.4855853216	-0.1279091245	0.4956574013	0.8590460369
33.9207069159	-87.2481843116	618.5286438396	0.9881039995	-0.0309353715	0.1506394483	0.1011326649	0.868656609	-0.4849822613	-0.1158508412	0.4944477578	0.8614515776
33.2597329507	-86.9616445885	618.3392332761	0.9892773452	-0.0355799922	0.1416390301	0.1005119244	0.8694947239	-0.4836073299	-0.1059476275	0.4926589599	0.8637474656
32.166819489	-86.9558955183	618.1720398872	0.990478788	-0.0403265770	0.1316356736	0.0995214347	0.8703941127	-0.482192674	-0.0951297506	0.4907014954	0.8661204241
31.5334984593	-86.5787877758	617.8928355646	0.9912208074	-0.0465217983	0.1237519208	0.1007677823	0.8717969298	-0.479390959	-0.0855843893	0.4876534959	0.8688309386
30.8164249435	-86.5324377653	617.8062154389	0.9917212801	-0.0530604718	0.1169173589	0.1029704834	0.8726332712	-0.4773971345	-0.0766950479	0.4854846663	0.8708724633
